source_city,dest_city,num_airlines
Albany,Minneapolis,1
Albany,Ogdensburg,1
Albany,Orlando,1
Albuquerque,Baltimore,1
Albuquerque,Carlsbad,1
Albuquerque,Dallas,1
Albuquerque,Los Alamos,1
Albuquerque,Minneapolis,1
Albuquerque,New York,1
Albuquerque,Oakland,1
Albuquerque,Salt Lake City,1
Albuquerque,San Diego,1
Albuquerque,San Francisco,1
Albuquerque,Seattle,1
Albury,Melbourne,1
Alderney,Guernsey,1
Alderney,Southampton,1
Alesund,Alicante,1
Alesund,Copenhagen,1
Alesund,Gdansk,1
Alesund,London,1
Alesund,Riga,1
Alesund,Trondheim,1
Alesund,Vilnius,1
Alexandria,Amman,1
Alexandria,Beirut,1
Alexandria,Benghazi,1
Alexandria,Dubai,1
Alexandria,Gassim,1
Alexandria,Houston,1
Alexandria,Hurghada,1
Alexandria,Sharjah,1
Alexandria,Tobruk,1
Alexandria,Yenbo,1
Alexandroupolis,Sitia,1
Alghero,Ancona,1
Alghero,Beauvais,1
Alghero,Bergamo,1
Alghero,Billund,1
Alghero,Bologna,1
Alghero,Bratislava,1
Alghero,Bucharest,1
Alghero,Charleroi,1
Alghero,Cuneo,1
Alghero,Dortmund,1
Alghero,Dublin,1
Alghero,Eindhoven,1
Alghero,Gerona,1
Alghero,Gothenborg,1
Alghero,Hahn,1
Alghero,London,1
Alghero,Madrid,1
Alghero,Memmingen,1
Alghero,Milan,1
Alghero,Milano,1
Alghero,Parma,1
Alghero,Pisa,1
Alghero,Ronchi De Legionari,1
Alghero,Sandefjord,1
Alghero,Stockholm,1
Alghero,Torino,1
Alghero,Treviso,1
Alghero,Weeze,1
Algier,Abidjan,1
Algier,Adrar,1
Algier,Alicante,1
Algier,Annaba,1
Algier,Bamako,1
Algier,Batna,1
Algier,Beijing,1
Algier,Beirut,1
Algier,Bejaja,1
Algier,Biskra,1
Algier,Bordeaux,1
Algier,Brussels,1
Algier,Cologne,1
Algier,Constantine,1
Algier,Dakar,1
Algier,Djanet,1
Algier,Geneva,1
Algier,Ghardaia,1
Algier,Ghriss,1
Algier,Guemar,1
Algier,Hassi Messaoud,1
Algier,In Salah,1
Algier,Madinah,1
Algier,Malta,1
Algier,Metz,1
Algier,Milano,1
Algier,Montreal,1
Algier,Moscow,1
Algier,Niamey,1
Algier,Nice,1
Algier,Oran,1
Algier,Ouagadougou,1
Algier,Ouargla,1
Algier,Palma de Mallorca,1
Algier,Setif,1
Algier,Tebessa,1
Algier,Tiaret,1
Algier,Tilrempt,1
Algier,Tlemcen,1
Algier,Touggourt,1
Algier,Vienna,1
Alicante,Aalborg,1
Alicante,Alesund,1
Alicante,Algier,1
Alicante,Beauvais,1
Alicante,Bergamo,1
Alicante,Berlin,1
Alicante,Blackpool,1
Alicante,Bologna,1
Alicante,Bournemouth,1
Alicante,Bremen,1
Alicante,Charleroi,1
Alicante,Cologne,1
Alicante,Connaught,1
Alicante,Cork,1
Alicante,Duesseldorf,1
Alicante,Exeter,1
Alicante,Frankfurt,1
Alicante,Geneva,1
Alicante,Gran Canaria,1
Alicante,Hahn,1
Alicante,Harstad/Narvik,1
Alicante,Haugesund,1
Alicante,Helsinki,1
Alicante,Karlsruhe/Baden-Baden,1
Alicante,Karlstad,1
Alicante,Katowice,1
Alicante,Kaunas,1
Alicante,Kerry,1
Alicante,Krakow,1
Alicante,Kristiansand,1
Alicante,Maastricht,1
Alicante,Madrid,1
Alicante,Memmingen,1
Alicante,Molde,1
Alicante,Mulhouse,1
Alicante,Nuernberg,1
Alicante,Oulu,1
Alicante,Prestwick,1
Alicante,Rotterdam,1
Alicante,Santiago,1
Alicante,Shannon,1
Alicante,Southampton,1
Alicante,Southend,1
Alicante,Stuttgart,1
Alicante,Tampere,1
Alicante,Tenerife,1
Alicante,Tromso,1
Alicante,Turku,1
Alicante,Umea,1
Alicante,Vasteras,1
Alicante,Vaxjo,1
Alicante,Warsaw,1
Alicante,Weeze,1
Alicante,Wroclaw,1
Alicante,Zurich,1
Alice Springs,Adelaide,1
Alice Springs,Brisbane,1
Alice Springs,Cairns,1
Alice Springs,Darwin,1
Alice Springs,Perth,1
Alice Springs,Uluru,1
Allahabad,Delhi,1
Allahabad,Mumbai,1
Allakaket,Bettles,1
Allakaket,Fairbanks,1
Allakaket,Hughes,1
Allentown,Chicago,1
Allentown,Detroit,1
Allentown,Myrtle Beach,1
Allentown,Punta Gorda,1
Allentown,Sanford,1
Allentown,St. Petersburg,1
Alluitsup Paa,Nanortalik,1
Alluitsup Paa,Qaqortoq,1
Alma-ata,Amsterdam,1
Alma-ata,Baku,1
Alma-ata,Bangkok,1
Alma-ata,Delhi,1
Alma-ata,Dzhambul,1
Alma-ata,Frankfurt,1
Alma-ata,Ho Chi Minh City,1
Alma-ata,Hong Kong,1
Alma-ata,Kazan,1
Alma-ata,Kokshetau,1
Alma-ata,Kostanay,1
Alma-ata,Kuala Lumpur,1
Alma-ata,Kzyl-Orda,1
Alma-ata,Novosibirsk,1
Alma-ata,Pavlodar,1
Alma-ata,Petropavlosk,1
Alma-ata,Prague,1
Alma-ata,Samara,1
Alma-ata,Semiplatinsk,1
Alma-ata,Sharjah,1
Alma-ata,Tbilisi,1
Alma-ata,Tehran,1
Alma-ata,Zhezkazgan,1
Almeria,Amsterdam,1
Almeria,Birmingham,1
Almeria,Brussels,1
Almeria,Charleroi,1
Almeria,Dublin,1
Almeria,East Midlands,1
Almeria,Melilla,1
Almeria,Palma de Mallorca,1
Almeria,Sevilla,1
Almeria,Weeze,1
Alofi,Auckland,1
Alpena,Detroit,1
Alpena,Minneapolis,1
Alta,Hammerfest,1
Alta,Kirkenes,1
Alta,Lakselv,1
Alta,Sorkjosen,1
Alta,Vadsø,1
Alta Floresta,Cuiaba,1
Altai,Bayankhongor,1
Altamira,Oriximina,1
Altamira,Santarem,1
Altenrhein,Marina Di Campo,1
Altenrhein,Vienna,1
Altoona,Johnstown,1
Altoona,Washington,1
Amami,Osaka,1
Amami,Tokyo,1
Amarillo,Chicago,1
Amarillo,Houston,1
Amarillo,Las Vegas,1
Amberley,Cairns,1
Ambon,Fak Fak,1
Ambon,Langgur-Kei Islands,1
Ambon,Manokwari,1
Ambon,Nabire,1
Ambon,Saumlaki,1
Ambon,Sorong,1
Ambryn Island,Craig Cove,1
Ambryn Island,Paama Island,1
Ambryn Island,Port-vila,1
Amilcar Cabral,Boa Vista,1
