icao,count
HKH,1
HMA,1
HMT,1
HOM,1
HPO,1
HQO,1
HYR,1
HZT,1
IAE,1
ICM,1
IFI,1
IKM,1
ILK,1
IME,1
IMN,1
INA,1
ING,1
INO,1
IPL,1
IRD,1
IRH,1
IRW,1
IRX,1
ITE,1
ITF,1
ITO,1
IVE,1
IWS,1
JAB,1
JAD,1
JAR,1
JEE,1
UTX,1
JMR,1
JMX,1
JOA,1
JOB,1
JOL,1
JPR,1
JTS,1
JUA,1
JZA,1
KAA,1
KAD,1
KAM,1
KAV,1
KEK,1
KFK,1
KFT,1
KGD,1
KHH,1
KIE,1
KKB,1
KKK,1
KLB,1
KLZ,1
KOR,1
KOY,1
KRE,1
KRT,1
KSI,1
KTN,1
KVR,1
KYC,1
KZR,1
LAG,1
LBC,1
LBI,1
LBW,1
LDG,1
LDL,1
LDN,1
LDR,1
LEM,1
LET,1
LFA,1
LFC,1
LGN,1
LHR,1
LID,1
LIE,1
LKP,1
LKS,1
LKY,1
LLR,1
LMA,1
LML,1
LMP,1
LMT,1
LMX,1
LMY,1
LMZ,1
LNE,1
LNK,1
LNT,1
LOK,1
LOU,1
LPC,1
LPV,1
LRO,1
LRW,1
LSK,1
LSM,1
LSR,1
LTI,1
LUC,1
LUR,1
LVN,1
LVR,1
LXG,1
LXR,1
LYT,1
LZP,1
LZR,1
MAM,1
MAU,1
MBA,1
MBB,1
MBC,1
MBV,1
MCB,1
MCD,1
MCO,1
MDC,1
MDG,1
MDX,1
MEF,1
MFL,1
MGE,1
MGS,1
MIE,1
MLD,1
MLF,1
MLI,1
MLN,1
MMC,1
MMD,1
MMP,1
MMX,1
MNE,1
MNG,1
MOC,1
MOP,1
MOR,1
MPD,1
MPX,1
MQT,1
MRL,1
MRM,1
MRP,1
MRT,1
MSC,1
MSK,1
MSM,1
MSO,1
MSV,1
MTB,1
MTE,1
MTK,1
MTY,1
MXO,1
MYS,1
MZK,1
MZL,1
NBK,1
NCL,1
NEL,1
NGV,1
NID,1
NIE,1
NIG,1
NKZ,1
NPT,1
NRS,1
NSO,1
NTD,1
NTV,1
NUL,1
NVI,1
NWG,1
NXA,1
OAO,1
OGI,1
OLV,1
