icao,count
ESSL,1
ESSP,1
ESSU,1
ESSV,1
ESUK,1
ETAD,1
ETAR,1
ETEU,1
ETHB,1
ETHC,1
ETHE,1
ETHF,1
ETHL,1
ETHM,1
ETHN,1
ETHR,1
ETHS,1
ETIC,1
ETID,1
ETIH,1
ETIN,1
ETMN,1
ETND,1
ETNG,1
ETNH,1
ETNJ,1
ETNL,1
ETNN,1
ETNS,1
ETNT,1
ETNW,1
ETOI,1
ETOR,1
ETOU,1
ETSA,1
ETSB,1
ETSE,1
ETSF,1
ETSH,1
ETSI,1
ETSL,1
ETSN,1
ETUO,1
FAAB,1
FAAG,1
FABB,1
FABE,1
FABL,1
FABM,1
FABO,1
FACT,1
FACV,1
FALE,1
FAEL,1
FAEO,1
FAFB,1
FAGC,1
FAGG,1
FAGR,1
FAGT,1
FAGY,1
FAHA,1
FAHR,1
FAHS,1
FAHV,1
FAOR,1
FAKD,1
FAKM,1
FAKR,1
FAKS,1
FAKU,1
FAKZ,1
FALA,1
FALI,1
FALM,1
FALW,1
FALY,1
FAMB,1
FAMG,1
FAMI,1
FAMJ,1
FAMN,1
FAMS,1
FAMU,1
FANC,1
FANY,1
FAOB,1
FAOH,1
FAPE,1
FAPG,1
FAPH,1
FAPI,1
FAPJ,1
FAPM,1
FAPN,1
FAPP,1
FAPS,1
FAPY,1
FAQT,1
FARB,1
FARG,1
FARS,1
FASB,1
FASC,1
FASD,1
FASI,1
FASK,1
FASS,1
FASX,1
FASZ,1
FATF,1
FATP,1
FATT,1
FATZ,1
FAUL,1
FAUP,1
FAUT,1
FAVB,1
FAVG,1
FAVR,1
FAVV,1
FAWB,1
FAWI,1
FAWK,1
FAWM,1
FAYP,1
FAZR,1
FBFT,1
FBJW,1
FBKE,1
FBMN,1
FBSK,1
FBSP,1
FCBB,1
FCOO,1
FCOU,1
FCPP,1
FDMS,1
FEFF,1
FEFT,1
FGBT,1
FGSL,1
FHAW,1
FIMP,1
FIMR,1
FJDG,1
FKKC,1
FKKD,1
FKKL,1
FKKM,1
FKKN,1
FKKR,1
FKKU,1
FKKV,1
FKKY,1
FLKE,1
FLLI,1
FLLS,1
FLMF,1
FLMG,1
FLND,1
FLSO,1
FMCH,1
FMCI,1
FMCV,1
FMCZ,1
FMEE,1
FMEP,1
FMMI,1
FMMN,1
FMMS,1
FMMT,1
FMMV,1
FMNA,1
FMNC,1
FMND,1
FMNE,1
FMNH,1
FMNL,1
FMNM,1
FMNN,1
FMNQ,1
FMNR,1
FMNS,1
FMNV,1
FMNW,1
FMNZ,1
FMSD,1
FMSF,1
FMSG,1
FMSK,1
FMSM,1
FMSR,1
FMST,1
FNBC,1
FNBG,1
FNCA,1
FNHU,1
FNKU,1
FNLB,1
FNLU,1
FNMA,1
FNME,1
FNNG,1
FNPA,1
FNSA,1
FNSO,1
FNUB,1
FNUE,1
FNUG,1
FNXA,1
FOGO,1
FOGQ,1
FOGR,1
FOOB,1
FOOG,1
FOOH,1
FOOK,1
FOOL,1
FOON,1
FPPR,1
FPST,1
FQBR,1
FQIN,1
FQLC,1
FQLU,1
FQMA,1
FQMD,1
FQMP,1
FQMR,1
FQNC,1
FQNP,1
FQPB,1
FQQL,1
FQSG,1
FQTT,1
FQUG,1
FQVL,1
FSAL,1
FSDR,1
FSFA,1
FSIA,1
FSPP,1
FSSC,1
FTTC,1
FTTD,1
FTTJ,1
FTTY,1
FVBU,1
FVCP,1
FVCZ,1
FVFA,1
FVHA,1
FVKB,1
FVMT,1
FVMU,1
FVMV,1
FVSH,1
FVTL,1
FVWN,1
FWCL,1
FWKA,1
FWKG,1
FWKI,1
FWUU,1
FXMM,1
FXMU,1
FZAA,1
FZAB,1
FZAG,1
FZAI,1
FZBO,1
FZCA,1
FZEA,1
FZFD,1
FZFK,1
FZFP,1
FZGA,1
FZIC,1
FZJH,1
FZKA,1
FZKJ,1
FZMA,1
FZNA,1
FZOA,1
FZQA,1
FZQM,1
FZRF,1
FZSA,1
FZUA,1
FZWA,1
GABS,1
GAGO,1
GAKY,1
GAMB,1
GATB,1
GATS,1
GBYD,1
GCFV,1
GCHI,1
GCLA,1
GCLP,1
GCRR,1
GCTS,1
GCXO,1
GEML,1
GFLL,1
GGCF,1
GLMR,1
GLRB,1
GMAD,1
GMAT,1
GMFF,1
GMFI,1
GMFK,1
GMFM,1
GMFO,1
GMMB,1
GMME,1
GMMN,1
GMMX,1
GMMY,1
GMMZ,1
GMTA,1
GMTN,1
GMTT,1
GOGG,1
GOGS,1
GOOK,1
GOOY,1
GOSS,1
GOTB,1
GOTK,1
GOTT,1
GQNA,1
GQND,1
GQNF,1
GQNI,1
GQNK,1
GQNO,1
GQNS,1
GQPA,1
GQPP,1
GQPT,1
GUFA,1
GUFH,1
GULB,1
GVAC,1
GVBA,1
GVMA,1
GVSN,1
GVSV,1
HAAB,1
HAAL,1
HAAM,1
HAAX,1
HABD,1
HADR,1
HAGM,1
HAGN,1
HAJM,1
HALL,1
HAMK,1
HASO,1
HBBA,1
HCMH,1
HCMI,1
HCMK,1
HEAX,1
HEBL,1
HECA,1
HECW,1
HEGN,1
HEGR,1
HELX,1
HEMM,1
HEPS,1
HESC,1
HESN,1
HETR,1
HKEL,1
HKKG,1
HKKI,1
HKKT,1
HKLO,1
HKLU,1
HKMO,1
HKNV,1
HKNW,1
HKRE,1
HKWJ,1
HLFL,1
HLGL,1
HLGT,1
HLKF,1
HLLB,1
HLLS,1
HLLT,1
HLMB,1
HLNF,1
HLON,1
HLRA,1
HLTD,1
HLZA,1
HRYG,1
HRYR,1
HRZA,1
HSDN,1
HSDZ,1
HSFS,1
HSKA,1
HSLI,1
HSOB,1
HSSJ,1
HSSM,1
HSSS,1
HTAR,1
HTDA,1
HTDO,1
HTIR,1
HTKJ,1
HTLM,1
HTMT,1
HTMW,1
HTPE,1
HTTG,1
HTZA,1
HUEN,1
HUSO,1
LATI,1
LBBG,1
LBGO,1
LBPD,1
LBSF,1
LBSZ,1
LBWN,1
LCLK,1
LCPH,1
LCRA,1
LDDU,1
LDOC,1
LDOS,1
LDPL,1
LDRG,1
LDRI,1
LDSP,1
LDVA,1
LDZA,1
LDZD,1
LDZU,1
LEAB,1
LEAL,1
LEAM,1
LEAS,1
LEBA,1
LEBB,1
LEBL,1
LEBZ,1
LECO,1
LEGA,1
LEGE,1
LEGR,1
LEGT,1
LEIB,1
LEJR,1
LELC,1
LEMD,1
LEMG,1
LEMH,1
LEMO,1
LEOC,1
LEPP,1
LERI,1
LERS,1
LERT,1
LESA,1
LESB,1
LESL,1
LESO,1
LEST,1
LESU,1
LETO,1
LEVC,1
LEVD,1
LEVT,1
LEVX,1
LEXJ,1
LEZG,1
LEZL,1
LFAC,1
LFAG,1
LFAI,1
LFAO,1
LFAQ,1
LFAT,1
LFAV,1
LFAY,1
LFBA,1
LFBC,1
LFBD,1
LFBE,1
LFBF,1
LFBG,1
LFBI,1
LFBK,1
LFBL,1
LFBM,1
LFBN,1
LFBO,1
LFBP,1
LFBR,1
LFBT,1
LFBU,1
LFSL,1
LFBX,1
LFBZ,1
LFCC,1
LFCG,1
LFCH,1
LFCI,1
LFCK,1
LFCL,1
LFCM,1
LFCQ,1
LFCR,1
LFCU,1
LFCW,1
LFCY,1
LFCZ,1
LFDA,1
LFDB,1
LFDH,1
LFDI,1
LFDJ,1
LFDM,1
LFDN,1
LFED,1
LFEH,1
LFES,1
LFFI,1
LFFN,1
LFGA,1
LFGF,1
LFGJ,1
LFGK,1
LFGW,1
LFHO,1
LFHP,1
LFHQ,1
LFHS,1
LFHV,1
LFHY,1
LFIF,1
LFIG,1
LFJL,1
LFKB,1
LFKC,1
LFKF,1
LFKJ,1
LFKO,1
LFKS,1
LFKT,1
LFLA,1
LFLB,1
LFLC,1
LFLD,1
LFLE,1
LFLH,1
LFLI,1
LFLL,1
LFLM,1
LFLN,1
LFLO,1
LFLP,1
LFLS,1
LFLT,1
LFLU,1
LFLV,1
LFLW,1
LFLX,1
LFLY,1
LFMA,1
LFMC,1
LFMD,1
LFMH,1
LFMI,1
LFMK,1
LFML,1
LFMN,1
LFMO,1
LFMP,1
LFMQ,1
LFMS,1
LFMT,1
LFMU,1
LFMV,1
LFMY,1
LFMZ,1
LFNB,1
LFNH,1
LFOA,1
LFOB,1
LFOC,1
LFOD,1
LFOE,1
LFOH,1
LFOI,1
LFOJ,1
LFOK,1
LFOP,1
LFOT,1
LFOU,1
LFOV,1
LFOZ,1
LFPB,1
LFPC,1
LFPG,1
LFPK,1
LFPM,1
LFPN,1
LFPO,1
LFPT,1
LFPV,1
LFQA,1
LFQB,1
LFQC,1
LFQE,1
LFQF,1
LFQG,1
LFQI,1
LFQJ,1
LFQM,1
LFQP,1
LFQQ,1
LFQT,1
LFQV,1
LFQW,1
LFRB,1
LFRC,1
LFRD,1
LFRE,1
LFRF,1
LFRG,1
LFRH,1
LFRI,1
LFRJ,1
LFRK,1
LFRL,1
LFRM,1
LFRN,1
LFRO,1
LFRQ,1
LFRS,1
LFRT,1
LFRU,1
LFRV,1
LFRZ,1
LFSB,1
LFSC,1
LFSD,1
LFSF,1
LFSG,1
LFSH,1
LFSI,1
LFSM,1
LFSN,1
LFSO,1
LFSP,1
LFSR,1
LFST,1
LFSX,1
LFTF,1
LFTH,1
LFTW,1
LFVM,1
LFVP,1
LFXA,1
LFYD,1
LGAD,1
LGAG,1
LGAL,1
LGAX,1
LGBL,1
LGEL,1
LGHI,1
LGIO,1
LGIR,1
LGKA,1
LGKC,1
LGKF,1
LGKL,1
LGKM,1
LGKO,1
LGKP,1
LGKR,1
LGKS,1
LGKV,1
LGKZ,1
LGLE,1
LGLM,1
LGLR,1
LGMG,1
LGMK,1
LGMT,1
LGPZ,1
LGRD,1
LGRP,1
LGRX,1
LGSA,1
LGSK,1
LGSM,1
LGSP,1
LGSR,1
LGST,1
LGSV,1
LGSY,1
LGTG,1
LGTL,1
LGTP,1
LGTS,1
LGTT,1
LGZA,1
LHBP,1
LHDC,1
LHKE,1
LHNY,1
LHOY,1
LHSA,1
LHSN,1
LIBA,1
LIBC,1
LIBD,1
LIBF,1
LIBG,1
LIBN,1
LIBP,1
LIBR,1
LIBV,1
LICA,1
LICC,1
LICD,1
LICG,1
LICJ,1
LICP,1
LICR,1
LICT,1
LICZ,1
LIEA,1
LIED,1
LIEE,1
LIEO,1
LIET,1
LIMA,1
LIMB,1
LIMC,1
LIME,1
LIMF,1
LIMG,1
LIMJ,1
LIML,1
LIMN,1
LIMP,1
LIMS,1
LIMZ,1
LIPA,1
LIPB,1
LIPC,1
LIPE,1
LIPH,1
LIPI,1
LIPK,1
LIPL,1
LIPN,1
LIPO,1
LIPQ,1
LIPR,1
LIPS,1
LIPT,1
LIPU,1
LIPX,1
LIPZ,1
LIQS,1
LIRA,1
LIRE,1
LIRF,1
LIRG,1
LIRJ,1
LIRL,1
LIRM,1
LIRN,1
LIRP,1
LIRQ,1
LIRS,1
LIRU,1
LIRV,1
LIRZ,1
LJCE,1
LJLJ,1
LJMB,1
LJPZ,1
LJSG,1
LKCS,1
LKCV,1
LKHK,1
LKHV,1
LKKB,1
LKKU,1
LKKV,1
LKLN,1
LKMH,1
LKMT,1
LKNA,1
LKPD,1
LKPM,1
LKPO,1
LKPR,1
LKTB,1
LKVO,1
LLBG,1
LLBS,1
LLEK,1
LLES,1
LLET,1
LLEY,1
LLHA,1
LLHS,1
LLIB,1
LLMG,1
LLMZ,1
LLNV,1
LLOV,1
LLRD,1
LLRM,1
LLSD,1
LMML,1
LOAN,1
LOLW,1
LOWG,1
LOWI,1
LOWL,1
LOWS,1
LOWW,1
