equipment,count
333 77W 744,2
777 330 738,2
CR9 ,2
332 319,2
733 318,2
73W 318,2
319 E75 E95,2
E95 321 320 330,2
321 738 332,2
DH4 319 738 320,2
738 332 321,2
73G 738 321 320 319,2
333 E90 738,2
333 744 738 343,2
744 738,2
320 340,2
E75 320 E95 340,2
320 340 321,2
73G 73J,2
321 E95 320 E75 319,2
320 E75 319 E95,2
319 E95 E75,2
320 E75 E95,2
ER4 M83 M80,2
E95 319 E75,2
320 E95 E75 319,2
320 E95 E75,2
142 141,2
SU9 DH4 73W,2
141,2
143 146,2
142 146,2
E70 CRJ M87,2
319 320 318,2
744 333 343,2
333 738 744,2
333 738 343,2
772 333 343 77W 773,2
333 77W 343,2
77W 343,2
333 773 343 77W,2
T20 320 A58 319,2
E90 738 73G,2
73G 738 E90,2
73G E90 738,2
320 346 332 77W,2
M82 DC9,2
773 343 772,2
333 773 772 77W 343,2
DH4 A40,2
788 333 321 320,2
332 320 333,2
320 321 77L 332,2
788 333 77W 332,2
73G 333 738,2
332 77W 333,2
788 321 77W 333 320 332 319,2
77L 77W 333 320,2
320 321 319 333,2
77W 333 332 77L,2
332 333 73H,2
717 DH4,2
73H DH4,2
332 77W 772,2
DH4 DH3 DH8,2
332 333 763 73H,2
738 E75 332 73G 333,2
DH4 717 DH3,2
M90 M88 757,2
717 73H,2
73G 738 319 320,2
738 320 E90 73G,2
738 733 73G,2
773 333,2
DH8 320,2
DH3 320,2
100 737,2
AT7 E70,2
CRJ AT4,2
CNC BNT,2
734 732,2
321 738 320 73G,2
73G 320 321,2
738 737 320 321,2
73J 73H 738,2
738 E90 319,2
320 321 73G 319,2
320 330 737,2
733 738 320,2
AT7 BE1,2
320 CRJ,2
D38 DH3,2
E90 73G 735,2
340 330 320,2
73N 73R,2
763 32B,2
321 332 320,2
320 319 757 321,2
M83 320 321 738,2
757 320 319,2
321 320 319 737,2
321 320 332 752,2
738 320 752,2
73G 735,2
320 734 738,2
73R 73N 734,2
734 736,2
73R,2
321 752 332,2
343 744,2
321 752 320,2
310 737 320,2
737 73H,2
752 321 332,2
73G 321 738,2
738 E90 73G,2
73J 320,2
737 321 319 320,2
320 73H 737,2
321 32A 318 320,2
319 M88 717,2
ATR 310 737,2
CR9 CR7 M88,2
737 ATR,2
777 320 73H,2
CRJ M88 319,2
M90 717 757 319 M88,2
757 763 739,2
333 AB6 767 320 321,2
321 738 733 320,2
321 767 333 320 AB6,2
73H M90 M88,2
AT4 J32,2
PL2 J32,2
DH7 DHT,2
J32 J41,2
J41 J32 732,2
J41 732,2
77L 744,2
333 772 321,2
763 333 738,2
321 77W 772,2
739 73H 738,2
M88 739 320,2
757 73H 739 738,2
717 CR9 M88 CRJ,2
738 321 733 320,2
320 M88 M90,2
752 738,2
752 333,2
739 AT7 738,2
744 77L,2
320 763 321,2
321 320 734 735,2
AT7 739 738 73H,2
772 343,2
SF3 ,2
BET DH8,2
320 100 F70,2
717 M88 CRJ,2
M88 CR7 CRJ,2
73C 735 DH4,2
763 767,2
320 319 100 321,2
73W M88 738 319,2
M11 333 747 74M 332,2
CRJ 73W,2
333 76W,2
767 738 757,2
32S 738,2
320 319 100,2
100 F70 319,2
F70 DH4,2
318 321 320 319,2
320 319 321 100 CR9,2
73W 73H 73C,2
767 763,2
320 717 319,2
320 757 M88 738 739 73H 73W,2
M88 ,2
M88 73H 320 738  319,2
757 M90 739,2
319 738 E70,2
733 73W 73C 73H,2
CR7 CRK ER4,2
73W 73C 738,2
73W 73C 733 738,2
73W 738 733,2
